新闻内容
2025-07-28 11:20:04: 居然智家董事长汪林朋坠楼身亡？公司回应称截至发稿时还未发布相关公告
2025-07-28 09:28:14: 人社部释放养老金改革两大信号：年金长周期考核+个养默认投资机制，公募有待扛大旗，或带动公募基金板块
2025-07-28 12:37:46: 江苏华辰董事长张孝金表示新能源和储能产品“破圈”，新产能和出海“破局”，公司开发小型工商储集成系统切入分布式储能市场，产线满产在手订单充足，或带动储能概念股
2025-07-28 08:12:40: 近期全国多地监管部门密集开出超30张券商经纪业务罚单，处罚对象涵盖券商总部、分支机构与从业人员，八大违规事由类型浮出水面，投顾资质、内部管理成高发区，或影响券商板块
2025-07-28 09:23:50: 中信智库在2025世界人工智能大会期间发布40万字《AI新纪元：砥砺开疆・智火燎原》AI+产业发展深度研究报告，贯穿AI垂直产业链核心环节，全面拆解AI模型、应用与算力，或带动人工智能板块
2025-07-28 12:13:27: 今日早盘三大指数涨跌不一，PCB概念股再度走强，大金融、影视板块盘中活跃，煤炭、钢铁等周期股集体调整，涨停数量40家，封板率70%，连板股5家，西藏旅游6连板
2025-07-28 11:58:06: 焦煤早盘暴跌超10%，商品期货全线飘绿，交易所出手限仓交易，或影响周期股板块
2025-07-28 11:47:06:今年首只10倍股诞生，上纬新材成2025年A股首只10倍股，21只个股完成2倍涨幅，舒泰神、*ST宇顺、联合化学等4只个股涨幅超4倍
2025-07-28 10:59:24:创新药BD热潮持续，恒瑞医药与GSK达成125亿美元组合授权协议，首付款5亿美元，今年上半年中国药企License-out金额已突破608亿美元，超过去年全年
2025-07-27 22:54:39:中国创新药商业化井喷，上半年中国创新药企业对海外授权交易金额超去年全年，业内预计2026年或成行业三重拐点交汇关键期，2025年下半年多个创新药龙头公司催化剂密集
2025-07-28 09:06:45:基石药业、恒瑞医药等发布创新药进展，我国2024年创新药医保支出达2020年的3.9倍，或带动创新药概念股
